Offence_Month,Rego_State,Sum_Pen_Amt,Sum_Inf_Count
Jun 2016,ACT,865154.0,3109
Jun 2016,NSW,452265.0,1598
Jun 2016,NT,1180.0,5
Jun 2016,QLD,27479.0,111
Jun 2016,SA,4595.0,15
Jun 2016,TAS,1569.0,6
Jun 2016,VIC,53985.0,191
Jun 2016,WA,4401.0,18
Jun 2017,ACT,1095132.0,2891
Jun 2017,NSW,692928.0,1577
Jun 2017,QLD,51265.0,111
Jun 2017,SA,9032.0,22
Jun 2017,TAS,3007.0,8
Jun 2017,VIC,116009.0,198
Jun 2017,WA,6249.0,15
Jun 2018,ACT,1594264.0,3874
Jun 2018,NSW,1120928.0,2346
Jun 2018,NT,279.0,1
Jun 2018,QLD,65362.0,142
Jun 2018,SA,12141.0,22
Jun 2018,TAS,4122.0,10
Jun 2018,VIC,155563.0,287
Jun 2018,WA,13402.0,31
Jun 2019,ACT,1352938.0,3225
Jun 2019,NSW,910698.0,1985
Jun 2019,NT,315.0,1
Jun 2019,QLD,57070.0,124
Jun 2019,SA,7997.0,19
Jun 2019,TAS,292.0,1
Jun 2019,VIC,107112.0,204
Jun 2019,WA,7276.0,18
Jun 2020,ACT,1289387.0,2943
Jun 2020,NSW,789419.0,1511
Jun 2020,NT,2433.0,5
Jun 2020,QLD,42237.0,96
Jun 2020,SA,17157.0,27
Jun 2020,TAS,3097.0,8
Jun 2020,VIC,118277.0,191
Jun 2020,WA,6294.0,21
Jun 2021,ACT,1265615.0,2884
Jun 2021,NSW,866781.0,1690
Jun 2021,NT,594.0,3
